lidar,return,height,width,channels,total_pixels,valid_returns,valid_percentage,range_min_m,range_mean_m,range_max_m,intensity_median,intensity_p995,intensity_max,elongation_mean,beam_source,beam_count,elevation_max_deg,elevation_min_deg,vertical_fov_deg,extrinsic_x_m,extrinsic_y_m,extrinsic_z_m
TOP,return_1,64,2650,4,169600,143330,84.51061320754717,3.0096352100372314,17.972166061401367,74.98910522460938,0.07421875,0.9779492187500409,57344.0,0.05245715379714966,explicit_calibration_array,64,2.3266727924346924,-17.562902450561523,19.889575958251953,1.4299999475479126,0.0,2.184000015258789
TOP,return_2,64,2650,4,169600,9294,5.4799528301886795,6.733619689941406,28.328702926635742,74.95397186279297,0.069580078125,0.41760742187499744,428.0,0.04226932302117348,explicit_calibration_array,64,2.3266727924346924,-17.562902450561523,19.889575958251953,1.4299999475479126,0.0,2.184000015258789
FRONT,return_1,200,600,4,120000,3639,3.0325,0.657143771648407,3.737546920776367,19.981016159057617,0.0128173828125,0.34804687499999787,9.4375,0.15282724797725677,computed_from_min_max,200,29.70000457763672,-89.69999694824219,119.4000015258789,4.070000171661377,0.0,0.6890000104904175
FRONT,return_2,200,600,4,120000,21,0.017499999999999998,1.4180225133895874,11.897942543029785,19.456687927246094,0.0869140625,5.399804687499992,5.96875,0.18290908634662628,computed_from_min_max,200,29.70000457763672,-89.69999694824219,119.4000015258789,4.070000171661377,0.0,0.6890000104904175
SIDE_LEFT,return_1,200,600,4,120000,3539,2.9491666666666667,0.9295722246170044,5.020429611206055,19.95937728881836,0.00396728515625,1.1292968749999979,6.5625,0.021589739248156548,computed_from_min_max,200,29.70000457763672,-89.69999694824219,119.4000015258789,3.244999885559082,1.024999976158142,0.9789999723434448
SIDE_LEFT,return_2,200,600,4,120000,88,0.07333333333333333,1.4405922889709473,15.750782012939453,19.958723068237305,0.082763671875,0.267578125,0.267578125,0.10419810563325882,computed_from_min_max,200,29.70000457763672,-89.69999694824219,119.4000015258789,3.244999885559082,1.024999976158142,0.9789999723434448
SIDE_RIGHT,return_1,200,600,4,120000,4823,4.019166666666667,0.45135951042175293,4.420724391937256,19.84576416015625,0.010009765625,0.5073828125000013,10.4375,0.007688523735851049,computed_from_min_max,200,29.70000457763672,-89.69999694824219,119.4000015258789,3.244999885559082,-1.024999976158142,0.9789999723434448
SIDE_RIGHT,return_2,200,600,4,120000,81,0.0675,1.1321662664413452,8.182580947875977,19.99205207824707,0.0267333984375,2.9468749999999853,4.0,0.04944493621587753,computed_from_min_max,200,29.70000457763672,-89.69999694824219,119.4000015258789,3.244999885559082,-1.024999976158142,0.9789999723434448
REAR,return_1,200,600,4,120000,3590,2.9916666666666667,0.3788601756095886,3.4383931159973145,19.967458724975586,0.004608154296875,0.4457421874999987,0.98828125,0.013586302287876606,computed_from_min_max,200,29.70000457763672,-89.69999694824219,119.4000015258789,-1.1549999713897705,0.0,0.46399998664855957
REAR,return_2,200,600,4,120000,161,0.13416666666666666,1.253927230834961,3.96927547454834,19.20842933654785,0.00147247314453125,0.26992187499999987,0.279296875,0.0058916895650327206,computed_from_min_max,200,29.70000457763672,-89.69999694824219,119.4000015258789,-1.1549999713897705,0.0,0.46399998664855957
